report_year,report_month,org_2_code,headcount,terminations,attrition_rate
2018,1,10,6,0,0.0
2018,1,110,1,0,0.0
2018,1,120,2,0,0.0
2018,1,20,4,0,0.0
2018,1,30,5,0,0.0
2018,1,40,1,0,0.0
2018,1,50,4,0,0.0
2018,1,60,4,0,0.0
2018,1,70,2,0,0.0
2018,1,80,1,0,0.0
2018,1,90,4,0,0.0
2018,2,10,8,0,0.0
2018,2,100,1,0,0.0
2018,2,110,3,0,0.0
2018,2,120,4,0,0.0
2018,2,20,6,0,0.0
2018,2,30,7,0,0.0
2018,2,40,4,0,0.0
2018,2,50,9,0,0.0
2018,2,60,10,0,0.0
2018,2,70,2,0,0.0
2018,2,80,5,0,0.0
2018,2,90,6,1,0.16666666666666666
2018,3,10,10,0,0.0
2018,3,100,4,0,0.0
2018,3,110,5,0,0.0
2018,3,120,9,0,0.0
2018,3,20,14,0,0.0
2018,3,30,10,0,0.0
2018,3,40,4,0,0.0
2018,3,50,12,2,0.16666666666666666
2018,3,60,15,0,0.0
2018,3,70,4,0,0.0
2018,3,80,9,0,0.0
2018,3,90,7,0,0.0
2018,4,10,12,0,0.0
2018,4,100,5,0,0.0
2018,4,110,9,0,0.0
2018,4,120,11,0,0.0
2018,4,20,18,0,0.0
2018,4,30,17,1,0.058823529411764705
2018,4,40,9,0,0.0
2018,4,50,13,1,0.07692307692307693
2018,4,60,17,0,0.0
2018,4,70,9,0,0.0
2018,4,80,12,0,0.0
2018,4,90,15,1,0.06666666666666667
2018,5,10,15,1,0.06666666666666667
2018,5,100,8,0,0.0
2018,5,110,14,1,0.07142857142857142
2018,5,120,15,0,0.0
2018,5,20,22,0,0.0
2018,5,30,19,0,0.0
2018,5,40,14,0,0.0
2018,5,50,17,0,0.0
2018,5,60,21,0,0.0
2018,5,70,15,1,0.06666666666666667
2018,5,80,15,0,0.0
2018,5,90,16,0,0.0
2018,6,10,18,0,0.0
2018,6,100,10,0,0.0
2018,6,110,17,0,0.0
2018,6,120,20,0,0.0
2018,6,20,24,0,0.0
2018,6,30,20,0,0.0
2018,6,40,16,1,0.0625
2018,6,50,21,0,0.0
2018,6,60,25,0,0.0
2018,6,70,19,2,0.10526315789473684
2018,6,80,17,1,0.058823529411764705
2018,6,90,20,0,0.0
2018,7,10,18,0,0.0
2018,7,100,17,1,0.058823529411764705
2018,7,110,24,0,0.0
2018,7,120,25,0,0.0
2018,7,20,24,0,0.0
2018,7,30,21,0,0.0
2018,7,40,15,1,0.06666666666666667
2018,7,50,24,0,0.0
2018,7,60,30,0,0.0
2018,7,70,18,0,0.0
2018,7,80,20,1,0.05
2018,7,90,23,0,0.0
2018,8,10,18,0,0.0
2018,8,100,17,1,0.058823529411764705
2018,8,110,27,1,0.037037037037037035
2018,8,120,26,0,0.0
2018,8,20,26,0,0.0
2018,8,30,27,2,0.07407407407407407
2018,8,40,19,0,0.0
2018,8,50,27,1,0.037037037037037035
2018,8,60,34,0,0.0
2018,8,70,21,0,0.0
2018,8,80,23,1,0.043478260869565216
2018,8,90,25,1,0.04
2018,9,10,23,1,0.043478260869565216
2018,9,100,19,0,0.0
2018,9,110,27,0,0.0
2018,9,120,33,0,0.0
2018,9,20,29,0,0.0
2018,9,30,30,0,0.0
2018,9,40,25,1,0.04
2018,9,50,30,1,0.03333333333333333
2018,9,60,37,0,0.0
2018,9,70,26,1,0.038461538461538464
2018,9,80,22,1,0.045454545454545456
2018,9,90,27,1,0.037037037037037035
2018,10,10,25,0,0.0
2018,10,100,24,1,0.041666666666666664
2018,10,110,33,0,0.0
2018,10,120,36,1,0.027777777777777776
2018,10,20,33,1,0.030303030303030304
2018,10,30,35,0,0.0
2018,10,40,29,1,0.034482758620689655
2018,10,50,30,0,0.0
2018,10,60,42,0,0.0
2018,10,70,28,0,0.0
2018,10,80,23,1,0.043478260869565216
2018,10,90,28,0,0.0
2018,11,10,27,1,0.037037037037037035
2018,11,100,27,1,0.037037037037037035
2018,11,110,35,0,0.0
2018,11,120,35,0,0.0
2018,11,20,34,0,0.0
2018,11,30,38,0,0.0
2018,11,40,31,2,0.06451612903225806
2018,11,50,32,0,0.0
2018,11,60,45,1,0.022222222222222223
2018,11,70,30,1,0.03333333333333333
2018,11,80,22,2,0.09090909090909091
2018,11,90,31,0,0.0
2018,12,10,28,0,0.0
2018,12,100,27,0,0.0
2018,12,110,37,0,0.0
2018,12,120,37,1,0.02702702702702703
2018,12,20,36,0,0.0
2018,12,30,39,2,0.05128205128205128
2018,12,40,30,0,0.0
2018,12,50,34,2,0.058823529411764705
2018,12,60,44,1,0.022727272727272728
2018,12,70,29,0,0.0
2018,12,80,21,0,0.0
2018,12,90,34,0,0.0
2019,1,10,29,0,0.0
2019,1,100,29,0,0.0
2019,1,110,38,2,0.05263157894736842
2019,1,120,37,2,0.05405405405405406
2019,1,20,38,1,0.02631578947368421
2019,1,30,39,0,0.0
2019,1,40,34,0,0.0
2019,1,50,36,0,0.0
2019,1,60,45,2,0.044444444444444446
2019,1,70,30,0,0.0
2019,1,80,28,0,0.0
2019,1,90,36,4,0.1111111111111111
2019,2,10,30,0,0.0
2019,2,100,31,0,0.0
2019,2,110,38,0,0.0
2019,2,120,36,1,0.027777777777777776
2019,2,20,39,1,0.02564102564102564
2019,2,30,44,0,0.0
2019,2,40,35,0,0.0
2019,2,50,40,1,0.025
2019,2,60,46,1,0.021739130434782608
2019,2,70,30,2,0.06666666666666667
2019,2,80,29,2,0.06896551724137931
2019,2,90,35,1,0.02857142857142857
2019,3,10,35,0,0.0
2019,3,100,33,0,0.0
2019,3,110,40,3,0.075
2019,3,120,38,0,0.0
2019,3,20,39,1,0.02564102564102564
2019,3,30,44,1,0.022727272727272728
2019,3,40,40,1,0.025
2019,3,50,42,1,0.023809523809523808
2019,3,60,50,0,0.0
2019,3,70,31,1,0.03225806451612903
2019,3,80,33,0,0.0
2019,3,90,36,0,0.0
2019,4,10,37,2,0.05405405405405406
2019,4,100,37,1,0.02702702702702703
2019,4,110,42,1,0.023809523809523808
2019,4,120,39,0,0.0
2019,4,20,43,3,0.06976744186046512
2019,4,30,46,1,0.021739130434782608
2019,4,40,42,2,0.047619047619047616
2019,4,50,43,1,0.023255813953488372
2019,4,60,58,1,0.017241379310344827
2019,4,70,35,0,0.0
2019,4,80,39,0,0.0
2019,4,90,38,1,0.02631578947368421
2019,5,10,42,1,0.023809523809523808
2019,5,100,41,2,0.04878048780487805
2019,5,110,45,3,0.06666666666666667
2019,5,120,47,2,0.0425531914893617
2019,5,20,46,0,0.0
2019,5,30,47,1,0.02127659574468085
2019,5,40,42,1,0.023809523809523808
2019,5,50,46,1,0.021739130434782608
2019,5,60,60,1,0.016666666666666666
2019,5,70,39,2,0.05128205128205128
2019,5,80,41,0,0.0
2019,5,90,42,1,0.023809523809523808
2019,6,10,43,1,0.023255813953488372
2019,6,100,42,1,0.023809523809523808
2019,6,110,46,1,0.021739130434782608
2019,6,120,50,0,0.0
2019,6,20,49,2,0.04081632653061224
2019,6,30,51,0,0.0
2019,6,40,44,2,0.045454545454545456
2019,6,50,46,2,0.043478260869565216
2019,6,60,61,1,0.01639344262295082
2019,6,70,43,2,0.046511627906976744
2019,6,80,46,0,0.0
2019,6,90,43,0,0.0
2019,7,10,46,0,0.0
2019,7,100,46,0,0.0
2019,7,110,50,0,0.0
2019,7,120,55,0,0.0
2019,7,20,47,1,0.02127659574468085
2019,7,30,52,0,0.0
2019,7,40,45,2,0.044444444444444446
2019,7,50,48,1,0.020833333333333332
2019,7,60,62,0,0.0
2019,7,70,43,1,0.023255813953488372
2019,7,80,47,2,0.0425531914893617
2019,7,90,47,1,0.02127659574468085
2019,8,10,50,2,0.04
2019,8,100,48,1,0.020833333333333332
2019,8,110,51,1,0.0196078431372549
2019,8,120,55,2,0.03636363636363636
2019,8,20,47,0,0.0
2019,8,30,55,2,0.03636363636363636
2019,8,40,46,0,0.0
2019,8,50,54,1,0.018518518518518517
2019,8,60,65,1,0.015384615384615385
2019,8,70,44,2,0.045454545454545456
2019,8,80,47,2,0.0425531914893617
2019,8,90,48,0,0.0
2019,9,10,52,0,0.0
2019,9,100,51,0,0.0
2019,9,110,55,2,0.03636363636363636
2019,9,120,59,1,0.01694915254237288
2019,9,20,53,1,0.018867924528301886
2019,9,30,57,2,0.03508771929824561
2019,9,40,47,0,0.0
2019,9,50,59,0,0.0
2019,9,60,68,1,0.014705882352941176
2019,9,70,46,0,0.0
2019,9,80,48,0,0.0
2019,9,90,55,0,0.0
2019,10,10,57,2,0.03508771929824561
2019,10,100,55,1,0.01818181818181818
2019,10,110,55,2,0.03636363636363636
2019,10,120,60,1,0.016666666666666666
2019,10,20,58,0,0.0
2019,10,30,58,3,0.05172413793103448
2019,10,40,50,3,0.06
2019,10,50,65,2,0.03076923076923077
2019,10,60,72,0,0.0
2019,10,70,49,3,0.061224489795918366
2019,10,80,49,1,0.02040816326530612
2019,10,90,57,0,0.0
2019,11,10,59,0,0.0
2019,11,100,55,0,0.0
2019,11,110,55,0,0.0
2019,11,120,59,2,0.03389830508474576
2019,11,20,63,3,0.047619047619047616
2019,11,30,59,0,0.0
2019,11,40,49,1,0.02040816326530612
2019,11,50,63,1,0.015873015873015872
2019,11,60,76,4,0.05263157894736842
2019,11,70,48,0,0.0
2019,11,80,49,2,0.04081632653061224
2019,11,90,58,2,0.034482758620689655
2019,12,10,60,1,0.016666666666666666
2019,12,100,57,2,0.03508771929824561
2019,12,110,56,1,0.017857142857142856
2019,12,120,58,0,0.0
2019,12,20,62,1,0.016129032258064516
2019,12,30,60,0,0.0
2019,12,40,49,2,0.04081632653061224
2019,12,50,63,1,0.015873015873015872
2019,12,60,73,2,0.0273972602739726
2019,12,70,50,1,0.02
2019,12,80,49,1,0.02040816326530612
2019,12,90,59,1,0.01694915254237288
2020,1,10,62,0,0.0
2020,1,100,57,1,0.017543859649122806
2020,1,110,57,0,0.0
2020,1,120,63,1,0.015873015873015872
2020,1,20,65,2,0.03076923076923077
2020,1,30,64,2,0.03125
2020,1,40,48,0,0.0
2020,1,50,64,0,0.0
2020,1,60,77,3,0.03896103896103896
2020,1,70,52,0,0.0
2020,1,80,48,1,0.020833333333333332
2020,1,90,59,1,0.01694915254237288
2020,2,10,65,0,0.0
2020,2,100,59,2,0.03389830508474576
2020,2,110,62,0,0.0
2020,2,120,63,1,0.015873015873015872
2020,2,20,65,3,0.046153846153846156
2020,2,30,65,1,0.015384615384615385
2020,2,40,49,0,0.0
2020,2,50,67,1,0.014925373134328358
2020,2,60,74,0,0.0
2020,2,70,53,1,0.018867924528301886
2020,2,80,49,1,0.02040816326530612
2020,2,90,61,0,0.0
2020,3,10,70,2,0.02857142857142857
2020,3,100,61,0,0.0
2020,3,110,62,2,0.03225806451612903
2020,3,120,66,1,0.015151515151515152
2020,3,20,68,2,0.029411764705882353
2020,3,30,66,2,0.030303030303030304
2020,3,40,50,2,0.04
2020,3,50,68,1,0.014705882352941176
2020,3,60,79,2,0.02531645569620253
2020,3,70,56,0,0.0
2020,3,80,50,1,0.02
2020,3,90,64,1,0.015625
2020,4,10,72,0,0.0
2020,4,100,66,1,0.015151515151515152
2020,4,110,62,2,0.03225806451612903
2020,4,120,68,0,0.0
2020,4,20,70,2,0.02857142857142857
2020,4,30,68,0,0.0
2020,4,40,51,0,0.0
2020,4,50,72,1,0.013888888888888888
2020,4,60,82,1,0.012195121951219513
2020,4,70,59,0,0.0
2020,4,80,52,0,0.0
2020,4,90,67,1,0.014925373134328358
2020,5,10,77,0,0.0
2020,5,100,73,1,0.0136986301369863
2020,5,110,63,2,0.031746031746031744
2020,5,120,71,0,0.0
2020,5,20,70,1,0.014285714285714285
2020,5,30,74,2,0.02702702702702703
2020,5,40,57,2,0.03508771929824561
2020,5,50,76,1,0.013157894736842105
2020,5,60,87,1,0.011494252873563218
2020,5,70,60,0,0.0
2020,5,80,53,0,0.0
2020,5,90,69,2,0.028985507246376812
2020,6,10,81,1,0.012345679012345678
2020,6,100,74,3,0.04054054054054054
2020,6,110,63,2,0.031746031746031744
2020,6,120,74,1,0.013513513513513514
2020,6,20,75,0,0.0
2020,6,30,79,2,0.02531645569620253
2020,6,40,60,0,0.0
2020,6,50,77,0,0.0
2020,6,60,88,1,0.011363636363636364
2020,6,70,63,2,0.031746031746031744
2020,6,80,56,0,0.0
2020,6,90,71,0,0.0
2020,7,10,83,2,0.024096385542168676
2020,7,100,72,5,0.06944444444444445
2020,7,110,67,1,0.014925373134328358
2020,7,120,76,2,0.02631578947368421
2020,7,20,80,4,0.05
2020,7,30,79,1,0.012658227848101266
2020,7,40,61,2,0.03278688524590164
2020,7,50,80,1,0.0125
2020,7,60,90,2,0.022222222222222223
2020,7,70,65,2,0.03076923076923077
2020,7,80,62,0,0.0
2020,7,90,73,4,0.0547945205479452
2020,8,10,87,1,0.011494252873563218
2020,8,100,67,1,0.014925373134328358
2020,8,110,68,3,0.04411764705882353
