report_year,report_month,company_code,headcount,fte,new_hires,terminations
2018,1,ALPNC,5,4.65,5,0
2018,1,NRTHP,8,7.42,8,0
2018,1,PRMRE,7,6.73,7,0
2018,1,WSTMF,14,12.25,14,0
2018,2,ALPNC,14,13.07,10,0
2018,2,NRTHP,13,12.42,5,0
2018,2,PRMRE,13,12.73,6,0
2018,2,WSTMF,24,21.73,10,0
2018,3,ALPNC,27,23.99,14,0
2018,3,NRTHP,21,20.42,8,0
2018,3,PRMRE,20,19.73,7,0
2018,3,WSTMF,33,30.5,10,0
2018,4,ALPNC,41,37.47,14,0
2018,4,NRTHP,25,25.0,5,0
2018,4,PRMRE,34,33.43,14,0
2018,4,WSTMF,44,39.82,11,0
2018,5,ALPNC,54,50.0,13,0
2018,5,NRTHP,33,32.8,8,0
2018,5,PRMRE,47,46.4,14,0
2018,5,WSTMF,54,49.56,10,0
2018,6,ALPNC,58,54.0,6,0
2018,6,NRTHP,40,38.86,8,0
2018,6,PRMRE,58,56.62,12,0
2018,6,WSTMF,65,59.77,12,0
2018,7,ALPNC,65,61.0,7,0
2018,7,NRTHP,48,46.38,9,0
2018,7,PRMRE,69,67.62,11,0
2018,7,WSTMF,73,66.96,9,0
2018,8,ALPNC,73,69.0,8,0
2018,8,NRTHP,56,53.3,10,0
2018,8,PRMRE,73,71.62,7,0
2018,8,WSTMF,79,72.45,8,0
2018,9,ALPNC,82,76.93,11,0
2018,9,NRTHP,71,67.47,15,0
2018,9,PRMRE,82,79.6,12,0
2018,9,WSTMF,83,76.82,7,0
2018,10,ALPNC,91,85.93,10,0
2018,10,NRTHP,81,76.57,10,0
2018,10,PRMRE,89,86.31,10,0
2018,10,WSTMF,96,88.95,14,0
2018,11,ALPNC,94,88.71,3,0
2018,11,NRTHP,89,84.2,11,0
2018,11,PRMRE,93,89.91,5,0
2018,11,WSTMF,100,92.95,7,0
2018,12,ALPNC,96,90.29,3,0
2018,12,NRTHP,93,87.34,4,0
2018,12,PRMRE,92,88.91,2,0
2018,12,WSTMF,107,99.25,8,0
2019,1,ALPNC,102,95.98,9,0
2019,1,NRTHP,97,90.84,8,0
2019,1,PRMRE,97,93.46,5,0
2019,1,WSTMF,111,103.66,7,0
2019,2,ALPNC,109,102.6,7,0
2019,2,NRTHP,101,94.42,6,0
2019,2,PRMRE,100,96.4,6,0
2019,2,WSTMF,114,106.93,5,0
2019,3,ALPNC,116,109.26,9,0
2019,3,NRTHP,107,100.82,10,0
2019,3,PRMRE,104,99.82,6,0
2019,3,WSTMF,124,116.07,12,0
2019,4,ALPNC,126,118.58,13,0
2019,4,NRTHP,118,110.63,13,0
2019,4,PRMRE,112,107.82,11,0
2019,4,WSTMF,128,119.89,9,0
2019,5,ALPNC,135,126.79,14,0
2019,5,NRTHP,123,114.85,11,0
2019,5,PRMRE,122,117.79,13,0
2019,5,WSTMF,141,132.39,14,0
2019,6,ALPNC,144,134.88,10,0
2019,6,NRTHP,133,124.32,15,0
2019,6,PRMRE,127,123.24,8,0
2019,6,WSTMF,145,136.04,8,0
2019,7,ALPNC,150,141.07,8,0
2019,7,NRTHP,137,128.77,8,0
2019,7,PRMRE,134,130.01,7,0
2019,7,WSTMF,153,143.48,13,0
2019,8,ALPNC,155,145.58,6,0
2019,8,NRTHP,142,134.2,7,0
2019,8,PRMRE,139,134.77,9,0
2019,8,WSTMF,155,145.02,8,0
2019,9,ALPNC,168,157.56,14,0
2019,9,NRTHP,154,145.19,13,0
2019,9,PRMRE,153,147.47,14,0
2019,9,WSTMF,165,153.7,11,0
2019,10,ALPNC,179,168.19,14,0
2019,10,NRTHP,159,149.76,9,0
2019,10,PRMRE,149,143.74,3,0
2019,10,WSTMF,177,166.51,16,0
2019,11,ALPNC,181,170.19,7,0
2019,11,NRTHP,157,147.18,5,0
2019,11,PRMRE,152,146.24,6,0
2019,11,WSTMF,184,172.47,8,0
2019,12,ALPNC,189,176.22,8,0
2019,12,NRTHP,155,145.18,3,0
2019,12,PRMRE,156,149.79,6,0
2019,12,WSTMF,180,168.47,1,0
2020,1,ALPNC,195,182.22,8,0
2020,1,NRTHP,166,155.85,11,0
2020,1,PRMRE,156,150.05,7,0
2020,1,WSTMF,184,172.23,6,0
2020,2,ALPNC,198,185.2,6,0
2020,2,NRTHP,169,157.72,6,0
2020,2,PRMRE,164,157.17,10,0
2020,2,WSTMF,185,173.54,4,0
2020,3,ALPNC,199,186.2,6,0
2020,3,NRTHP,176,164.13,11,0
2020,3,PRMRE,169,161.94,9,0
2020,3,WSTMF,195,182.96,11,0
2020,4,ALPNC,202,188.76,5,0
2020,4,NRTHP,192,178.6,16,0
2020,4,PRMRE,178,170.94,13,0
2020,4,WSTMF,203,190.0,11,0
2020,5,ALPNC,210,196.48,9,0
2020,5,NRTHP,203,188.72,14,0
2020,5,PRMRE,186,177.61,12,0
2020,5,WSTMF,213,199.38,13,0
2020,6,ALPNC,210,197.08,5,0
2020,6,NRTHP,211,196.72,10,0
2020,6,PRMRE,196,187.11,12,0
2020,6,WSTMF,227,213.01,16,0
2020,7,ALPNC,214,201.55,9,0
2020,7,NRTHP,223,208.22,14,0
2020,7,PRMRE,195,185.26,9,0
2020,7,WSTMF,223,209.51,7,0
2020,8,ALPNC,218,206.07,6,0
2020,8,NRTHP,229,214.22,10,0
2020,8,PRMRE,196,186.22,8,0
2020,8,WSTMF,224,209.99,5,0
2020,9,ALPNC,226,214.07,11,0
2020,9,NRTHP,239,223.58,15,0
2020,9,PRMRE,202,191.85,13,0
2020,9,WSTMF,228,213.2,11,0
2020,10,ALPNC,236,223.03,15,0
2020,10,NRTHP,241,225.36,9,0
2020,10,PRMRE,209,197.34,9,0
2020,10,WSTMF,232,216.76,9,0
2020,11,ALPNC,238,225.29,7,0
2020,11,NRTHP,242,226.03,3,0
2020,11,PRMRE,207,195.3,6,0
2020,11,WSTMF,231,214.12,8,0
2020,12,ALPNC,238,225.03,3,0
2020,12,NRTHP,243,227.43,6,0
2020,12,PRMRE,212,200.3,6,0
2020,12,WSTMF,231,214.12,3,0
2021,1,ALPNC,237,224.03,4,0
2021,1,NRTHP,246,230.43,6,0
2021,1,PRMRE,220,208.01,11,0
2021,1,WSTMF,233,216.38,8,0
2021,2,ALPNC,235,222.29,6,0
2021,2,NRTHP,245,229.56,10,0
2021,2,PRMRE,223,209.9,7,0
2021,2,WSTMF,238,221.71,7,0
2021,3,ALPNC,240,227.29,9,0
2021,3,NRTHP,249,233.67,9,0
2021,3,PRMRE,229,215.59,10,0
2021,3,WSTMF,248,231.71,11,0
2021,4,ALPNC,249,236.06,11,0
2021,4,NRTHP,257,241.14,11,0
2021,4,PRMRE,234,219.59,12,0
2021,4,WSTMF,260,241.94,15,0
2021,5,ALPNC,256,242.48,10,0
2021,5,NRTHP,266,250.29,13,0
2021,5,PRMRE,246,231.35,14,0
2021,5,WSTMF,255,237.31,5,0
2021,6,ALPNC,261,247.08,14,0
2021,6,NRTHP,270,253.82,8,0
2021,6,PRMRE,248,233.35,9,0
2021,6,WSTMF,255,236.98,7,0
2021,7,ALPNC,265,251.03,5,0
2021,7,NRTHP,277,261.16,9,0
2021,7,PRMRE,254,238.76,13,0
2021,7,WSTMF,262,243.65,10,0
2021,8,ALPNC,267,253.95,10,0
2021,8,NRTHP,281,265.56,9,0
2021,8,PRMRE,260,244.01,12,0
2021,8,WSTMF,263,244.17,4,0
2021,9,ALPNC,281,266.67,16,0
2021,9,NRTHP,290,273.82,13,0
2021,9,PRMRE,268,251.58,13,0
2021,9,WSTMF,271,252.92,12,0
2021,10,ALPNC,287,272.71,10,0
2021,10,NRTHP,295,278.48,10,0
2021,10,PRMRE,277,261.11,16,0
2021,10,WSTMF,272,253.7,7,0
2021,11,ALPNC,286,271.36,5,0
2021,11,NRTHP,304,285.54,12,0
2021,11,PRMRE,279,262.64,7,0
2021,11,WSTMF,271,252.63,5,0
2021,12,ALPNC,282,267.15,4,0
2021,12,NRTHP,305,286.84,5,0
2021,12,PRMRE,278,261.28,2,0
2021,12,WSTMF,275,256.63,7,0
2022,1,ALPNC,283,267.47,5,0
2022,1,NRTHP,310,291.39,12,0
2022,1,PRMRE,280,264.4,5,0
2022,1,WSTMF,275,256.2,5,0
2022,2,ALPNC,283,267.73,2,0
2022,2,NRTHP,311,292.76,6,0
2022,2,PRMRE,284,268.05,11,0
2022,2,WSTMF,276,257.08,6,0
2022,3,ALPNC,292,275.14,12,0
2022,3,NRTHP,311,292.17,9,0
2022,3,PRMRE,284,268.43,7,0
2022,3,WSTMF,283,264.08,9,0
2022,4,ALPNC,296,278.74,8,0
2022,4,NRTHP,322,301.32,17,0
2022,4,PRMRE,295,277.56,12,0
2022,4,WSTMF,292,272.29,13,0
2022,5,ALPNC,300,282.94,6,0
2022,5,NRTHP,329,307.46,13,0
2022,5,PRMRE,297,278.75,11,0
2022,5,WSTMF,302,282.56,12,0
2022,6,ALPNC,302,285.17,9,0
2022,6,NRTHP,332,310.38,10,0
2022,6,PRMRE,303,283.98,8,0
2022,6,WSTMF,311,291.15,15,0
2022,7,ALPNC,304,286.7,7,0
2022,7,NRTHP,340,317.57,12,0
2022,7,PRMRE,307,287.98,6,0
2022,7,WSTMF,317,297.15,9,0
2022,8,ALPNC,306,288.77,7,0
2022,8,NRTHP,340,318.13,6,0
2022,8,PRMRE,309,290.56,7,0
2022,8,WSTMF,322,301.7,10,0
2022,9,ALPNC,314,297.73,9,0
2022,9,NRTHP,347,324.34,14,0
2022,9,PRMRE,322,302.86,14,0
2022,9,WSTMF,327,305.38,13,0
2022,10,ALPNC,312,295.95,6,0
2022,10,NRTHP,358,334.55,16,0
2022,10,PRMRE,328,307.39,8,0
2022,10,WSTMF,333,311.11,11,0
2022,11,ALPNC,313,295.83,4,0
2022,11,NRTHP,366,341.92,9,0
2022,11,PRMRE,325,304.9,6,0
2022,11,WSTMF,332,310.62,6,0
2022,12,ALPNC,312,294.74,5,0
2022,12,NRTHP,365,340.6,4,0
2022,12,PRMRE,322,301.9,2,0
2022,12,WSTMF,338,315.39,6,0
2023,1,ALPNC,316,298.5,8,0
2023,1,NRTHP,370,345.17,6,0
2023,1,PRMRE,327,307.11,11,0
2023,1,WSTMF,342,319.14,7,0
2023,2,ALPNC,319,300.82,5,0
2023,2,NRTHP,375,350.59,9,0
2023,2,PRMRE,325,304.6,3,0
2023,2,WSTMF,347,323.57,9,0
2023,3,ALPNC,327,308.42,11,0
2023,3,NRTHP,379,354.8,13,0
2023,3,PRMRE,330,308.57,10,0
2023,3,WSTMF,349,324.67,9,0
2023,4,ALPNC,336,317.74,12,0
2023,4,NRTHP,383,358.34,8,0
2023,4,PRMRE,343,320.68,17,0
2023,4,WSTMF,350,325.67,9,0
2023,5,ALPNC,351,332.27,17,0
2023,5,NRTHP,389,363.97,11,0
2023,5,PRMRE,349,326.44,8,0
2023,5,WSTMF,363,338.19,14,0
2023,6,ALPNC,353,334.27,6,0
2023,6,NRTHP,391,364.56,11,0
2023,6,PRMRE,366,341.93,18,0
2023,6,WSTMF,369,343.82,12,0
2023,7,ALPNC,355,335.93,7,0
2023,7,NRTHP,395,369.06,8,0
2023,7,PRMRE,373,349.98,12,0
2023,7,WSTMF,370,345.46,5,0
2023,8,ALPNC,354,334.14,5,0
2023,8,NRTHP,397,371.06,7,0
2023,8,PRMRE,381,357.12,9,0
2023,8,WSTMF,376,351.25,8,0
2023,9,ALPNC,358,337.86,8,0
2023,9,NRTHP,402,374.27,17,0
2023,9,PRMRE,383,358.12,7,0
2023,9,WSTMF,387,360.04,17,0
2023,10,ALPNC,361,341.65,9,0
2023,10,NRTHP,408,380.24,12,0
2023,10,PRMRE,382,356.79,8,0
2023,10,WSTMF,390,362.37,12,0
2023,11,ALPNC,360,341.36,7,0
2023,11,NRTHP,411,382.77,7,0
2023,11,PRMRE,387,361.79,11,0
2023,11,WSTMF,393,364.85,6,0
2023,12,ALPNC,361,341.56,6,0
2023,12,NRTHP,405,376.38,3,0
2023,12,PRMRE,380,355.12,2,0
2023,12,WSTMF,392,363.31,3,0
2024,1,ALPNC,358,337.7,7,0
2024,1,NRTHP,408,379.1,9,0
2024,1,PRMRE,380,355.59,8,0
2024,1,WSTMF,397,368.7,9,0
2024,2,ALPNC,362,341.86,8,0
2024,2,NRTHP,411,382.38,7,0
2024,2,PRMRE,378,353.35,4,0
2024,2,WSTMF,399,370.61,10,0
2024,3,ALPNC,370,349.06,10,0
2024,3,NRTHP,417,387.56,9,0
2024,3,PRMRE,382,357.22,9,0
2024,3,WSTMF,406,378.44,14,0
2024,4,ALPNC,374,352.27,9,0
2024,4,NRTHP,422,391.0,14,0
2024,4,PRMRE,397,371.05,16,0
2024,4,WSTMF,407,378.74,6,0
2024,5,ALPNC,380,358.23,11,0
2024,5,NRTHP,431,399.61,15,0
2024,5,PRMRE,410,383.52,16,0
2024,5,WSTMF,409,379.89,6,0
2024,6,ALPNC,381,359.29,5,0
2024,6,NRTHP,434,402.38,11,0
2024,6,PRMRE,411,384.86,8,0
2024,6,WSTMF,412,383.26,11,0
2024,7,ALPNC,390,368.25,11,0
2024,7,NRTHP,435,403.26,11,0
2024,7,PRMRE,416,389.97,10,0
2024,7,WSTMF,413,383.92,7,0
2024,8,ALPNC,394,372.0,6,0
2024,8,NRTHP,435,403.39,7,0
2024,8,PRMRE,423,396.42,10,0
2024,8,WSTMF,419,388.74,11,0
2024,9,ALPNC,402,379.28,15,0
2024,9,NRTHP,441,408.68,11,0
2024,9,PRMRE,429,401.22,10,0
2024,9,WSTMF,423,392.27,14,0
2024,10,ALPNC,401,378.62,4,0
2024,10,NRTHP,440,408.03,6,0
2024,10,PRMRE,422,395.29,2,0
2024,10,WSTMF,425,392.87,9,0
2024,11,ALPNC,393,370.41,0,0
2024,11,NRTHP,438,406.84,0,0
2024,11,PRMRE,418,391.79,0,0
2024,11,WSTMF,422,389.8,0,0
2024,12,ALPNC,391,368.7,0,0
2024,12,NRTHP,432,400.84,0,0
2024,12,PRMRE,412,385.79,0,0
2024,12,WSTMF,412,380.29,0,0
2025,1,ALPNC,385,362.7,0,0
2025,1,NRTHP,432,400.9,0,0
2025,1,PRMRE,407,381.25,0,0
2025,1,WSTMF,402,371.61,0,0
2025,2,ALPNC,381,358.7,0,0
2025,2,NRTHP,425,394.18,0,0
2025,2,PRMRE,404,378.95,0,0
2025,2,WSTMF,398,368.46,0,0
2025,3,ALPNC,374,352.3,0,0
2025,3,NRTHP,415,385.11,0,0
2025,3,PRMRE,403,377.63,0,0
2025,3,WSTMF,391,362.3,0,0
2025,4,ALPNC,367,345.3,0,0
2025,4,NRTHP,409,379.98,0,0
2025,4,PRMRE,399,373.63,0,0
2025,4,WSTMF,383,354.98,0,0
2025,5,ALPNC,362,340.3,0,0
2025,5,NRTHP,407,377.98,0,0
2025,5,PRMRE,394,368.32,0,0
2025,5,WSTMF,382,353.98,0,0
2025,6,ALPNC,355,334.19,0,0
2025,6,NRTHP,402,373.76,0,0
2025,6,PRMRE,386,360.69,0,0
2025,6,WSTMF,376,348.38,0,0
2025,7,ALPNC,350,329.4,0,0
2025,7,NRTHP,394,366.62,0,0
2025,7,PRMRE,382,356.9,0,0
2025,7,WSTMF,372,344.38,0,0
2025,8,ALPNC,349,328.05,0,0
2025,8,NRTHP,393,366.12,0,0
2025,8,PRMRE,377,352.39,0,0
2025,8,WSTMF,369,342.19,0,0
2025,9,ALPNC,347,326.05,0,0
2025,9,NRTHP,387,360.12,0,0
2025,9,PRMRE,376,351.39,0,0
2025,9,WSTMF,365,338.19,0,0
2025,10,ALPNC,343,321.96,0,0
2025,10,NRTHP,384,357.38,0,0
2025,10,PRMRE,371,347.3,0,0
2025,10,WSTMF,358,331.47,0,0
2025,11,ALPNC,344,322.75,0,0
2025,11,NRTHP,379,352.38,0,0
2025,11,PRMRE,369,345.3,0,0
2025,11,WSTMF,353,326.47,0,0
2025,12,ALPNC,342,320.75,0,0
2025,12,NRTHP,378,351.88,0,0
2025,12,PRMRE,366,342.34,0,0
2025,12,WSTMF,348,321.96,0,0
2026,1,ALPNC,336,314.75,0,0
2026,1,NRTHP,376,350.12,0,0
2026,1,PRMRE,363,339.34,0,0
2026,1,WSTMF,343,317.21,0,0
