report_year,report_month,tenure_bucket,headcount
2018,1,0-1 years,34
2018,1,1-2 years,0
2018,1,2-5 years,0
2018,1,5-10 years,0
2018,1,10+ years,0
2018,2,0-1 years,62
2018,2,1-2 years,0
2018,2,2-5 years,0
2018,2,5-10 years,0
2018,2,10+ years,0
2018,3,0-1 years,101
2018,3,1-2 years,0
2018,3,2-5 years,0
2018,3,5-10 years,0
2018,3,10+ years,0
2018,4,0-1 years,144
2018,4,1-2 years,0
2018,4,2-5 years,0
2018,4,5-10 years,0
2018,4,10+ years,0
2018,5,0-1 years,188
2018,5,1-2 years,0
2018,5,2-5 years,0
2018,5,5-10 years,0
2018,5,10+ years,0
2018,6,0-1 years,221
2018,6,1-2 years,0
2018,6,2-5 years,0
2018,6,5-10 years,0
2018,6,10+ years,0
2018,7,0-1 years,255
2018,7,1-2 years,0
2018,7,2-5 years,0
2018,7,5-10 years,0
2018,7,10+ years,0
2018,8,0-1 years,277
2018,8,1-2 years,0
2018,8,2-5 years,0
2018,8,5-10 years,0
2018,8,10+ years,0
2018,9,0-1 years,318
2018,9,1-2 years,0
2018,9,2-5 years,0
2018,9,5-10 years,0
2018,9,10+ years,0
2018,10,0-1 years,357
2018,10,1-2 years,0
2018,10,2-5 years,0
2018,10,5-10 years,0
2018,10,10+ years,0
2018,11,0-1 years,375
2018,11,1-2 years,0
2018,11,2-5 years,0
2018,11,5-10 years,0
2018,11,10+ years,0
2018,12,0-1 years,388
2018,12,1-2 years,0
2018,12,2-5 years,0
2018,12,5-10 years,0
2018,12,10+ years,0
2019,1,0-1 years,380
2019,1,1-2 years,27
2019,1,2-5 years,0
2019,1,5-10 years,0
2019,1,10+ years,0
2019,2,0-1 years,375
2019,2,1-2 years,47
2019,2,2-5 years,0
2019,2,5-10 years,0
2019,2,10+ years,0
2019,3,0-1 years,369
2019,3,1-2 years,82
2019,3,2-5 years,0
2019,3,5-10 years,0
2019,3,10+ years,0
2019,4,0-1 years,376
2019,4,1-2 years,108
2019,4,2-5 years,0
2019,4,5-10 years,0
2019,4,10+ years,0
2019,5,0-1 years,379
2019,5,1-2 years,141
2019,5,2-5 years,0
2019,5,5-10 years,0
2019,5,10+ years,0
2019,6,0-1 years,379
2019,6,1-2 years,170
2019,6,2-5 years,0
2019,6,5-10 years,0
2019,6,10+ years,0
2019,7,0-1 years,380
2019,7,1-2 years,194
2019,7,2-5 years,0
2019,7,5-10 years,0
2019,7,10+ years,0
2019,8,0-1 years,376
2019,8,1-2 years,215
2019,8,2-5 years,0
2019,8,5-10 years,0
2019,8,10+ years,0
2019,9,0-1 years,390
2019,9,1-2 years,250
2019,9,2-5 years,0
2019,9,5-10 years,0
2019,9,10+ years,0
2019,10,0-1 years,389
2019,10,1-2 years,275
2019,10,2-5 years,0
2019,10,5-10 years,0
2019,10,10+ years,0
2019,11,0-1 years,386
2019,11,1-2 years,288
2019,11,2-5 years,0
2019,11,5-10 years,0
2019,11,10+ years,0
2019,12,0-1 years,385
2019,12,1-2 years,295
2019,12,2-5 years,0
2019,12,5-10 years,0
2019,12,10+ years,0
2020,1,0-1 years,386
2020,1,1-2 years,294
2020,1,2-5 years,20
2020,1,5-10 years,0
2020,1,10+ years,0
2020,2,0-1 years,388
2020,2,1-2 years,289
2020,2,2-5 years,39
2020,2,5-10 years,0
2020,2,10+ years,0
2020,3,0-1 years,387
2020,3,1-2 years,284
2020,3,2-5 years,68
2020,3,5-10 years,0
2020,3,10+ years,0
2020,4,0-1 years,392
2020,4,1-2 years,296
2020,4,2-5 years,87
2020,4,5-10 years,0
2020,4,10+ years,0
2020,5,0-1 years,397
2020,5,1-2 years,297
2020,5,2-5 years,118
2020,5,5-10 years,0
2020,5,10+ years,0
2020,6,0-1 years,400
2020,6,1-2 years,298
2020,6,2-5 years,146
2020,6,5-10 years,0
2020,6,10+ years,0
2020,7,0-1 years,393
2020,7,1-2 years,298
2020,7,2-5 years,161
2020,7,5-10 years,0
2020,7,10+ years,0
2020,8,0-1 years,393
2020,8,1-2 years,295
2020,8,2-5 years,179
2020,8,5-10 years,0
2020,8,10+ years,0
2020,9,0-1 years,386
2020,9,1-2 years,300
2020,9,2-5 years,209
2020,9,5-10 years,0
2020,9,10+ years,0
2020,10,0-1 years,388
2020,10,1-2 years,299
2020,10,2-5 years,231
2020,10,5-10 years,0
2020,10,10+ years,0
2020,11,0-1 years,372
