report_year,termination_type_code,termination_reason_code,count
2018,I,200,6
2018,I,201,5
2018,I,205,4
2018,I,206,1
2018,I,207,3
2018,I,210,1
2018,V,100,15
2018,V,101,2
2018,V,102,6
2018,V,103,2
2018,V,202,3
2019,I,200,11
2019,I,201,11
2019,I,205,8
2019,I,206,7
2019,I,207,8
2019,I,210,1
2019,V,100,41
2019,V,101,31
2019,V,102,10
2019,V,103,4
2019,V,202,11
2020,I,200,17
2020,I,201,9
2020,I,205,16
2020,I,206,8
2020,I,207,7
2020,I,210,3
2020,V,100,60
2020,V,101,30
2020,V,102,11
2020,V,103,11
2020,V,202,16
2021,I,200,18
2021,I,201,11
2021,I,205,11
2021,I,206,8
2021,I,207,13
2021,I,210,4
2021,V,100,79
2021,V,101,44
2021,V,102,20
2021,V,103,7
2021,V,202,24
2022,I,200,11
2022,I,201,21
2022,I,205,14
2022,I,206,10
2022,I,207,4
2022,I,210,10
2022,V,100,64
2022,V,101,34
2022,V,102,15
2022,V,103,18
2022,V,202,19
2023,I,200,24
2023,I,201,16
2023,I,205,17
2023,I,206,7
2023,I,207,11
2023,I,210,6
2023,V,100,74
2023,V,101,28
2023,V,102,24
2023,V,103,8
2023,V,202,25
2024,I,200,25
2024,I,201,21
2024,I,205,19
2024,I,206,9
2024,I,207,19
2024,I,210,4
2024,V,100,76
2024,V,101,47
2024,V,102,16
2024,V,103,13
2024,V,202,22
2025,I,200,11
2025,I,201,9
2025,I,205,20
2025,I,206,3
2025,I,207,14
2025,I,210,2
2025,V,100,65
2025,V,101,36
2025,V,102,27
2025,V,103,10
2025,V,202,22
2026,I,200,1
2026,I,201,3
2026,I,205,1
2026,I,206,1
2026,I,207,2
2026,V,100,3
2026,V,101,2
2026,V,102,1
2026,V,202,2
