employee_number,transaction_date,effective_date,employee_status_code,employee_type_code,fullpart_time_code,scheduled_fte,job_code,job_family_code,company_code,location_code,org_1_code,org_2_code,last_hire_date,seniority_date,date_in_job,termination_date,termination_reason_code,termination_type_code,salaryhourly_code,earning_group_code,pay_group_code,supervisor_employee_number,orglvl1reportcategory
100001,2018-01-01,2018-01-01,A,RFT,F,1.0,71MKT2,MKTG,PRMRE,117,110,30,2018-01-01,2018-01-01,2018-01-01,,,,H,EG10,PG02,,Operations
100001,2021-02-26,2021-02-26,T,RFT,F,1.0,71MKT2,MKTG,PRMRE,117,110,30,2018-01-01,2018-01-01,2018-01-01,2021-02-26,102,V,H,EG10,PG02,,Operations
100002,2018-01-01,2018-01-01,A,TFT,F,1.0,43SAL3,SALES,NRTHP,102,20,110,2018-01-01,2018-01-01,2018-01-01,,,,S,EG10,PG05,102972.0,Operations
100002,2019-05-18,2019-05-18,T,TFT,F,1.0,43SAL3,SALES,NRTHP,102,20,110,2018-01-01,2018-01-01,2018-01-01,2019-05-18,205,I,S,EG10,PG05,102972.0,Operations
100003,2018-01-01,2018-01-01,A,RFT,F,1.0,23ENG6,ENGR,NRTHP,122,160,10,2018-01-01,2018-01-01,2018-01-01,,,,S,EG07,PG05,,Operations
100004,2018-01-02,2018-01-02,A,RFT,F,1.0,14CSR2,CSR,NRTHP,111,240,90,2018-01-02,2018-01-02,2018-01-02,,,,H,EG06,PG05,100802.0,Operations
100004,2020-06-16,2020-06-16,A,RFT,F,1.0,15CSR3,CSR,NRTHP,111,240,90,2018-01-02,2018-01-02,2020-06-16,,,,H,EG10,PG05,100802.0,Operations
100004,2021-09-15,2021-09-15,T,RFT,F,1.0,15CSR3,CSR,NRTHP,111,240,90,2018-01-02,2018-01-02,2020-06-16,2021-09-15,102,V,H,EG10,PG05,100802.0,Operations
100005,2018-01-03,2018-01-03,A,RFT,F,1.0,41SAL1,SALES,WSTMF,108,40,50,2018-01-03,2018-01-03,2018-01-03,,,,S,EG08,PG03,102445.0,Operations
100005,2018-12-19,2018-12-19,A,RFT,F,1.0,42SAL2,SALES,WSTMF,108,40,50,2018-01-03,2018-01-03,2018-12-19,,,,S,EG10,PG03,102445.0,Operations
