primary_key,employee_number,datetime_processed,termination_date,termination_type_code,termination_reason_code,is_termination_cleared
100001_2021-02-26,100001,2021-02-26,2021-02-26,V,102,True
100002_2019-05-18,100002,2019-05-18,2019-05-18,I,205,True
100004_2021-09-15,100004,2021-09-15,2021-09-15,V,102,True
100005_2022-09-23,100005,2022-09-23,2022-09-23,I,210,True
100006_2022-04-14,100006,2022-04-14,2022-04-14,V,102,True
100009_2019-04-07,100009,2019-04-07,2019-04-07,I,207,True
100010_2018-04-10,100010,2018-04-10,2018-04-10,V,100,True
100012_2019-06-09,100012,2019-06-09,2019-06-09,V,101,True
100013_2020-01-17,100013,2020-01-17,2020-01-17,I,207,True
100014_2019-01-27,100014,2019-01-27,2019-01-27,V,100,True
100015_2020-07-13,100015,2020-07-13,2020-07-13,V,103,True
100016_2021-01-24,100016,2021-01-24,2021-01-24,V,100,True
100017_2023-03-26,100017,2023-03-26,2023-03-26,I,200,True
100018_2024-06-04,100018,2024-06-04,2024-06-04,I,205,True
100020_2019-01-27,100020,2019-01-27,2019-01-27,V,100,True
100022_2018-02-23,100022,2018-02-23,2018-02-23,I,201,True
100023_2018-06-17,100023,2018-06-17,2018-06-17,I,205,True
100024_2019-10-09,100024,2019-10-09,2019-10-09,V,202,True
100025_2021-10-16,100025,2021-10-16,2021-10-16,I,205,True
100026_2021-01-17,100026,2021-01-17,2021-01-17,V,202,True
100028_2022-05-18,100028,2022-05-18,2022-05-18,V,100,True
100029_2018-11-14,100029,2018-11-14,2018-11-14,V,100,True
100033_2018-03-01,100033,2018-03-01,2018-03-01,V,103,True
100034_2019-02-21,100034,2019-02-21,2019-02-21,V,103,True
100035_2020-11-02,100035,2020-11-02,2020-11-02,V,101,True
100036_2018-11-23,100036,2018-11-23,2018-11-23,V,100,True
100037_2018-11-14,100037,2018-11-14,2018-11-14,I,201,True
100039_2021-11-20,100039,2021-11-20,2021-11-20,V,100,True
100040_2020-11-26,100040,2020-11-26,2020-11-26,V,202,True
100041_2018-09-26,100041,2018-09-26,2018-09-26,V,100,True
100042_2020-04-06,100042,2020-04-06,2020-04-06,I,201,True
100043_2019-11-11,100043,2019-11-11,2019-11-11,I,207,True
100045_2020-05-29,100045,2020-05-29,2020-05-29,I,206,True
100046_2024-08-24,100046,2024-08-24,2024-08-24,V,202,True
100047_2019-10-02,100047,2019-10-02,2019-10-02,I,200,True
100049_2025-02-04,100049,2025-02-04,2025-02-04,I,207,True
100050_2019-09-23,100050,2019-09-23,2019-09-23,I,201,True
100051_2018-07-03,100051,2018-07-03,2018-07-03,I,210,True
100052_2019-01-15,100052,2019-01-15,2019-01-15,V,102,True
100053_2021-01-13,100053,2021-01-13,2021-01-13,V,102,True
100055_2018-03-13,100055,2018-03-13,2018-03-13,I,201,True
100057_2022-08-24,100057,2022-08-24,2022-08-24,I,201,True
100058_2024-03-17,100058,2024-03-17,2024-03-17,V,101,True
100059_2020-08-06,100059,2020-08-06,2020-08-06,I,200,True
